acc.date,type,reg,operator,fat,location,dmg,acc.year,acc_type
2022-01-03,British Aerospace,ZS-NRJ,SA Airlink,0.0,near Venetia Mine Airport,sub,2022.0,Non-Fatal
2022-01-04,British Aerospace,HR-AYY,LANHSA - Línea Aérea Nacional de Honduras S.A,0.0,Roatán-Juan Manuel Gálvez International Airport (RTB),sub,2022.0,Non-Fatal
2022-01-05,Boeing,EP-CAP,Caspian Airlines,0.0,Isfahan-Shahid Beheshti Airport (IFN),sub,2022.0,Non-Fatal
2022-01-08,Tupolev Tu-204-100C,RA-64032,"Cainiao, opb Aviastar-TU",0.0,Hangzhou Xiaoshan International Airport (HGH),w/o,2022.0,Non-Fatal
2022-01-16,Airbus,JA24MC,Star Flyer,0.0,near Okayama City,non,2022.0,Non-Fatal
2022-01-19,Cessna,YV3033,Mahan Air,0.0,"near Vakilabad, Arzuiyeh",sub,2022.0,Non-Fatal
2022-01-22,Airbus,N760JB,JetBlue Airways,0.0,"Hayden-Yampa Valley Airport, CO (HDN)",sub,2022.0,Non-Fatal
2022-01-27,Bombardier,2-SLOW,Volare Aviation,0.0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub,2022.0,Non-Fatal
2022-01-31,Bombardier,N999PX,Lima Delta Co Trustee,0.0,London-Stansted Airport (STN),sub,2022.0,Non-Fatal
2022-01-31,Beechcraft,C-GEAS,"Air Tindi, opf Royal Canadian Air Force - RCAF",0.0,"Thunder Bay Airport, ON (YQT)",sub,2022.0,Non-Fatal
2022-02-02,Hawker,N207K,Skyview LLC,0.0,"Islip-Long Island MacArthur Airport, NY (ISP)",sub,2022.0,Non-Fatal
2022-02-05,Cessna,5H-TAZ,Care Aviation,0.0,New Fangak Airstrip,sub,2022.0,Non-Fatal
2022-02-07,Embraer,OH-LKK,Finnair,0.0,København-Kastrup Airport (CPH),sub,2022.0,Non-Fatal
2022-02-08,Antonov,SP-402,South Sudanese Air Force,0.0,Agok Airstrip,sub,2022.0,Non-Fatal
2022-02-11,Cessna,LV-JUO,Aviajet SA,0.0,"Morón-Ituzaingo Airport, BA",sub,2022.0,Non-Fatal
2022-02-11,Antonov,RA-33599,Kamchatsky Krechet,2.0,"1 km SW of Koryaki, Yelizovsky district, Kamchatka",w/o,2022.0,Fatal
2022-02-14,Let,9S-GFA,Doren Air Congo,0.0,Bukavu-Kavumu Airport (BKY),w/o,2022.0,Non-Fatal
2022-02-15,ATR,JA04JC,Japan Air Commuter,0.0,55 km NNW of Osaka Airport,non,2022.0,Non-Fatal
2022-02-15,Britten-Norman,N821RR,Air Flamenco,0.0,Culebra Airport (CPX),sub,2022.0,Non-Fatal
2022-02-16,Swearingen,HK-5225,Colcharter,0.0,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ),sub,2022.0,Non-Fatal
2022-02-18,Embraer,N68NH,Eclipse Transport LLC,0.0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub,2022.0,Non-Fatal
2022-02-21,de Havilland Canada DHC-3T Texas Turbine Otter,N413JP,Bald Mountain Air Services,0.0,"Umiat Airport, AK (UMT)",sub,2022.0,Non-Fatal
2022-02-21,Raytheon,N99AP,Roper Aviation LLC,0.0,"Aspen-Pitkin County Airport, CO (ASE/KASE)",sub,2022.0,Non-Fatal
2022-02-23,Cessna,5X-ASD,Air Serv Limited,0.0,Bor Airport (HSBR),sub,2022.0,Non-Fatal
2022-02-24,Antonov,UR-09307,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),sub,2022.0,Non-Fatal
2022-02-24,Antonov,UR-13395,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),w/o,2022.0,Non-Fatal
2022-02-24,Antonov,UR-74010,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),w/o,2022.0,Non-Fatal
2022-02-24,Cessna,N10JA,GoJump Oceanside,0.0,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB)",sub,2022.0,Non-Fatal
2022-02-24,Antonov,59 blue,Ukraine Air Force,5.0,ca 2 km N of Zhukivtsi,w/o,2022.0,Fatal
2022-02-26,Cessna,5H-MZA,AB Aviation,14.0,"2,5 km NW off Mohéli-Bandar es Eslam Airport (NWA)",w/o,2022.0,Fatal
2022-02-27,Antonov,UR-82009,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),sub,2022.0,Non-Fatal
2022-02-27,Antonov,UR-82060,Antonov Airlines,0.0,Kyiv-Gostomel Airport (GML),w/o,2022.0,Non-Fatal
2022-02-28,Cessna,N108RF,Revolution Flight,0.0,"Campbellton, TX",sub,2022.0,Non-Fatal
2022-02-28,Embraer,N402YX,"American Eagle, opb Republic Airlines",0.0,"Washington-Ronald Reagan National Airport, DC (DCA)",min,2022.0,Non-Fatal
2022-02-28,Cessna,PK-FSW,Spirit Avia Sentosa,0.0,Bilogai/Sugapa Airport (ZGP),sub,2022.0,Non-Fatal
2022-03-02,Embraer,LV-GQN,Flyzar,0.0,"Angra dos Reis Airport, RJ (SDAG)",sub,2022.0,Non-Fatal
2022-03-03,Boeing,EI-DHH,Ryanair,0.0,Ibiza Airport (LEIB),non,2022.0,Non-Fatal
2022-03-05,Dornier,CG756,Indian Coast Guard,0.0,Kanpur Air Force Station (VICX),sub,2022.0,Non-Fatal
2022-03-06,Beechcraft,N8170J,HLAF AETA LLC,0.0,"Gulfport-Biloxi International Airport, MS (GPT)",sub,2022.0,Non-Fatal
2022-03-07,Cessna,N22AU,Ozark Air Services,0.0,"Baltimore-Martin State Airport, MD (MTN)",sub,2022.0,Non-Fatal
2022-03-08,Cessna,C-GIPR,Bamaji Air,0.0,"17 km NNW of Sioux Lookout Airport, ON (YXL)",w/o,2022.0,Non-Fatal
2022-03-09,Honda HA-420 HondaJet,N903JT,Jet It LLC,0.0,"Pittsburgh-Allegheny County Airport, PA (AGC)",sub,2022.0,Non-Fatal
2022-03-12,Beechcraft,HP-1948BT,Bocas Air,0.0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC),sub,2022.0,Non-Fatal
2022-03-17,Cessna,N78SA,Martinaire,0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",min,2022.0,Non-Fatal
2022-03-17,Cessna,N9469B,Martinaire,0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub,2022.0,Non-Fatal
2022-03-21,Boeing,B-1791,China Eastern Airlines,132.0,"20 km SW of Wuzhou, Tengxian County",w/o,2022.0,Fatal
2022-03-26,Boeing,JA603J,Japan Airlines (JAL),0.0,90 km E of Nagoya,non,2022.0,Non-Fatal
2022-03-30,Cessna,D-FLIC,"Skydive Costa d'Argento, lsf Gladwings",1.0,Säntis Mountain,w/o,2022.0,Fatal
2022-04-01,Embraer,TG-TAN,TAG Airlines,0.0,Belize City-Philip S.W. Goldson International Airport (BZE),sub,2022.0,Non-Fatal
2022-04-02,Learjet,N877W,Georgia Crown Distributing Co.,0.0,"Morristown Municipal Airport, NJ (MMU)",sub,2022.0,Non-Fatal
2022-04-07,Boeing,HP-2010DAE,DHL Aero Expreso,0.0,San José-Juan Santamaria International Airport (SJO),w/o,2022.0,Non-Fatal
2022-04-08,Aero Modifications AMI DC-3-65TP,HK-5016,ALIANSA Colombia,0.0,San Felipe Airport,sub,2022.0,Non-Fatal
2022-04-11,Beechcraft,C-GYQK,Thunder Airlines,0.0,"Timmins Airport, ON (YTS)",sub,2022.0,Non-Fatal
2022-04-13,Gulfstream,N511PK,private,0.0,within Venezuela,w/o,2022.0,Non-Fatal
2022-04-13,Basler,PNC0257,Servicio Aéreo de Policia,0.0,Villavicencio-La Vanguardia Airport (VVC),sub,2022.0,Non-Fatal
2022-04-13,Cessna,N928JP,Gem Air,1.0,"0,7 km NE of Burley Municipal Airport, ID (BYI)",w/o,2022.0,Fatal
2022-04-14,Fairchild,N820DC,Denver Air Connection,0.0,"Denver International Airport, CO (DEN/KDEN)",sub,2022.0,Non-Fatal
2022-04-17,Embraer,PP-LGD,VOAR Cooperativa,0.0,"Maraú-Barra Grande Airport, BA (SIRI)",sub,2022.0,Non-Fatal
2022-04-17,Cessna,N225SC,GP Aviation LLC,0.0,"Caldwell Wright Airport, NJ (CDW)",sub,2022.0,Non-Fatal
2022-04-22,Antonov,UR-UZB,Constanta Airlines,1.0,Mykhailivka,w/o,2022.0,Fatal
2022-04-26,Boeing,EI-ENK,Ryanair,0.0,Almería Airport (LEI),non,2022.0,Non-Fatal
2022-04-30,Beechcraft,N699CZ,Freight Runners Express,0.0,"Milwaukee-General Mitchell Airport (MKE/KMKE), Milwaukee, WI",sub,2022.0,Non-Fatal
2022-04-30,Cessna,F-GXMP,Centre Ecole de Parachutisme Sportif de l'Ariège,0.0,Pamiers/Les Pujols Airport,sub,2022.0,Non-Fatal
2022-05-01,Boeing,VT-SLH,SpiceJet,0.0,E of Durgapur,unk,2022.0,Non-Fatal
2022-05-03,Shorts,N744LG,Air Cargo Carriers,0.0,San Juan-Luis Muñoz Marín International Airport (SJU),sub,2022.0,Non-Fatal
2022-05-06,Beechcraft,CC-CDY,Sociedad De Transporte Aéreo Movi Air SPA,0.0,Santiago-Arturo Merino Benitez Airport (SCL),sub,2022.0,Non-Fatal
2022-05-06,Boeing,YR-BMM,Blue Air,0.0,Napoli-Capodichino Airport (NAP),sub,2022.0,Non-Fatal
2022-05-10,Boeing,LN-RRH,SAS Scandinavian Airlines,0.0,between Stavanger and Oslo,non,2022.0,Non-Fatal
2022-05-11,Viking,TJ-TIM,Caverton Helicopters (Cameroun) Ltd.,11.0,near Nanga Eboko,w/o,2022.0,Fatal
2022-05-11,Cessna,PT-OQR,"LBK Serviço Aéreo Especializado, opf Skydive4Fun",2.0,"Boituva, SP",sub,2022.0,Fatal
2022-05-12,Airbus,B-6425,Tibet Airlines,0.0,Chongqing Jiangbei International Airport (CKG/ZUCK),w/o,2022.0,Non-Fatal
2022-05-20,Embraer,PT-SHN,Sales Taxi Aéreo,0.0,"Eldorado do Sul, RS",sub,2022.0,Non-Fatal
2022-05-21,Boeing,N256WN,Southwest Airlines,0.0,"Tacoma, Washington",non,2022.0,Non-Fatal
2022-05-24,de Havilland Canada DHC-3T Turbine Otter,N703TH,Yakutat Coastal Airlines,0.0,"near Dry Bay Airport, AK",sub,2022.0,Non-Fatal
2022-05-25,Airbus,N483UA,United Airlines,0.0,"Springfield, MO",non,2022.0,Non-Fatal
2022-05-27,Boeing,A6-BLF,Etihad Airways,0.0,between Abu Dhabi and Lahore,unk,2022.0,Non-Fatal
2022-05-28,Beechcraft,ZS-PTE,Unknown,0.0,near Lynedoch Private Airfield,sub,2022.0,Non-Fatal
2022-05-29,de Havilland Canada DHC-6 Twin Otter 300,9N-AET,Tara Air,22.0,Sanosware,w/o,2022.0,Fatal
2022-06-02,Cessna,N131PL,Kam Aviation LLC,0.0,"Natchitoches Regional Airport, LA",sub,2022.0,Non-Fatal
2022-06-03,Cessna,N7581F,GoJump Oceanside,1.0,"0,5 km E of Oceanside Municipal Airport, CA (OCN/KOKB)",sub,2022.0,Fatal
2022-06-04,Cessna,N90JF,Connecticut Parachutists,0.0,"Ellington Airport, CT (7B9)",sub,2022.0,Non-Fatal
2022-06-07,Shorts,N731E,Alaskan Air Charter,0.0,"Chisana Field, AK (CZN)",sub,2022.0,Non-Fatal
2022-06-07,Bombardier,N694PD,Pacific Dental Services,0.0,"Hawthorne Airport, CA (HHR)",min,2022.0,Non-Fatal
2022-06-13,Cessna,N550GX,Northern Meridian LLC,0.0,"Fargo-Hector International Airport, ND (FAR)",sub,2022.0,Non-Fatal
2022-06-15,Beechcraft,OO-LET,ASL - Air Service Liege,0.0,Liège Airport (LGG),sub,2022.0,Non-Fatal
2022-06-16,Boeing,9S-ABJ,Gomair,0.0,Kananga Airport (KGA),sub,2022.0,Non-Fatal
2022-06-17,Boeing,F-GSPQ,Air France,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",min,2022.0,Non-Fatal
2022-06-17,Airbus,EI-EJL,ITA Airways,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",min,2022.0,Non-Fatal
2022-06-21,McDonnell Douglas,HI1064,RED Air,0.0,"Miami International Airport, FL (MIA)",w/o,2022.0,Non-Fatal
2022-06-21,Antonov,RA-17742,Techservice,2.0,"46 km SE of Sebyan-Kyuel, Kobyaysky District",w/o,2022.0,Fatal
2022-06-22,Learjet,YV3304,private,6.0,7 km SSE of Charallave-Óscar Machado Zuloaga Airport,w/o,2022.0,Fatal
2022-06-22,Antonov,30001,NPP Mir,0.0,70 km SE of Olenyok Airport (ONK),sub,2022.0,Non-Fatal
2022-06-24,Fokker,5Y-CCE,Icon Aviation,0.0,Juba Airport (JUB),unk,2022.0,Non-Fatal
2022-06-24,Ilyushin,RF-78778,Russian Air Force,5.0,5 km ESE of Ryazan-Dyagilevo Air Base,w/o,2022.0,Fatal
2022-06-25,de Havilland Canada DHC-8-402Q Dash 8,JA854A,"All Nippon Airways - ANA, opb ANA Wings",0.0,40 km WSW of Tokushima Airport,non,2022.0,Non-Fatal
2022-06-26,Cessna,N265KP,Alaska Seaplanes,0.0,"Elfin Cove Seaplane Base, AK (ELV)",sub,2022.0,Non-Fatal
,Antonov,RA-17951,Voskhod LLC,0.0,near Oymyakon Airfield,sub,,Non-Fatal
2022-07-01,Antonov,UR-11316,Motor Sich,0.0,Uzhgorod Airport (UKLU),sub,2022.0,Non-Fatal
2022-07-01,Boeing,N480WN,Southwest Airlines,0.0,"Santa Ana-John Wayne International Airport, CA (SNA/KSNA)",non,2022.0,Non-Fatal
2022-07-01,Learjet,LV-BPA,Flying America SA,4.0,"Río Grande-Gobernador Ramón Trejo Noel International Airport, TF (RGA)",w/o,2022.0,Fatal
2022-07-13,Gulfstream,HZ-A23,Alpha Star Aviation Services,0.0,Jeddah-King Abdulaziz International Airport (JED),sub,2022.0,Non-Fatal
2022-07-13,Cessna,N877FE,Corporate Air,0.0,"Salt Lake City International Airport, UT (SLC)",sub,2022.0,Non-Fatal
2022-07-15,Raytheon,N400MX,"Aircraft Management Group, Inc",0.0,"Brunswick-Glynco Jetport, GA (BQK)",sub,2022.0,Non-Fatal
2022-07-15,Antonov,RA-02240,private,2.0,"Prochnookopskaya, Novokubansky district, Krasnodar region",sub,2022.0,Fatal
2022-07-16,Boeing,JA807X,Solaseed Air,0.0,120 km SW of Naha Airport,non,2022.0,Non-Fatal
2022-07-16,Fokker,5Y-JSN,Icon Aviation,0.0,Rubkona Airport,sub,2022.0,Non-Fatal
2022-07-16,Antonov,UR-CIC,Meridian,8.0,16 km W of Kavala,w/o,2022.0,Fatal
